index,player_name,position,college,strength,weakness
2870,Aaron Jones,RB,UTEP,,
2212,Alvin Kamara,RB,Tennessee,"Spirited runner with NFL size and speed. Will open creases by varying pace of his runs. Burst to top speed is available at flip of a switch. Creates yardage with speed, wiggle and power. Twitchy and decisive. Strong lower body provides superior balance. Flexible and agile with ability to twist, spin and ricochet off of bodies and continue to gain yards after contact. Very productive; 23 touchdowns in just 284 touches at Tennessee. Well-liked inside program and a team leader. Can play on all three downs. Improved in pass protection and squares up blitzers. Has lined up at slot receiver at times. Sure-handed pass catcher with excellent burst out of breaks to consistently uncover. Has talent as punt returner.","Vision can be hit or miss. Not an instinctive runner. Needs to see running lane develop and is missing a feel for reading progressions of his blocks. Makes inconsistent decisions on stretch plays. Can be his own worst enemy on third level. Will run himself into a tackler rather than setting him up for a downfield blocker. Consistently cuts left when given an open-field choice against tackler. With knee injuries in his background, combine medicals could come into play. Needs to tuck ball high and tight to prevent fumbles"
3880,Amon-Ra St. Brown,WR,USC,"Crafted a variety of release techniques.
Smooth athlete with plus body control.
Adjusts routes and scrambles open when quarterback extends play.
Uses eyes effectively to manipulate coverage near goal line.
Runs routes to create tilt and lean from defenders.
Smooth acceleration through route stems.
Instinctive, talented deep-ball tracker.
Maintains top speed when turning to find the long ball.
Keeps his calm catching with safety ranging toward him.
Feel for stacking defender on hip to expand landing zone of football.
Balance to continue through contact on run after catch.","Play strength might need upgrade against physical cornerbacks.
Press rides on him for early stages of the route.
Has had issues securing catchable throws underneath.
Very average foot quickness and long speed.
Could struggle to knock athletic corners out of route phase.
Below-average separation burst out of breaks.
Drifts into route turns at times.
Lacks stride to open up and find a second gear.
Very little grit in his run blocking."
3447,Antonio Gibson,RB,Memphis,"Makes explosive plays in running, receiving and return game. Offers additional matchup possibilities for coordinators. Runs much faster than it looks. High school sprinter with breakaway potential. Had seven total touchdowns of 40-plus yards. Quick gather and cut on stretch plays. Big runner who absorbs and dismisses angle tackles. Decisive runner and gets to a quality burst. Sees space well with ball in his hands. Sells route stems to tilt coverage off-balance.",Only one season of production. Has 34 career rush attempts. Hip tightness limits fluidity in the open field. Needs more discipline to keep runs on track when it's there. Still learning patience and to set up blocks. Only saw offset stretch runs and jet sweeps as a back. Rolls and drifts in his route breaks. Takes too long getting in and out of breaks.
4309,Brock Purdy,QB,Iowa State,"Four-year starter and team leader.
Different quarterback when he finds his rhythm.
Makes his way through progressions.
Strong hands allow for easy pump fakes to move defenders.
Generally accurate passer between the numbers.
Confident throwing over linebackers and in front of safeties.
Good toughness and anticipation as a runner.
Willing to dive to move the chains.","Pocket setup lacks quickness.
Field blinders occasionally rob him of seeing the big play.
Delivery is labored.
Lacks timing to beat NFL corners outside the numbers.
Shies away from tight-window throws.
Ball needs to come out sooner on deep-ball shots.
Confidence and consistency have been issues."
2565,Chris Godwin,WR,Penn State,,
3837,Chuba Hubbard,RB,Oklahoma State,"Showed ability to carry a significant load.
Runs with good tempo.
Smooth downhill flow with efficient change of direction.
Instinctive through the traffic.
Accurate reads up to linebackers in outside zone.
Vision to recognize and get skinny through small creases.
Agile feet to spin or jump-cut away from tacklers.
Rarely bounces runs wide unnecessarily.
Angle tackles slide off loose, slippery hips.
Effective on screens and can work out of backfield against LBs","Is a little lighter than expected for the heavy tote total.
Below-average leg drive to break NFL tackles.
Not a fall-forward finisher.
Running style is more rigid than creative.
Needs willingness to improvise once he's on second level.
Average burst to outrun faster linebackers to the corner.
Fumbles come from carrying ball away from frame in space.
Needs to improve blitz recognition and pass pro technique."
2213,Cooper Kupp,WR,Eastern Washington,"Utilized as a slot receiver in college but could transition outside. Produced elite numbers against a lower level of competition but saved a monster game for Washington State early in the season. He is as natural a pass catcher as you will find with desired competitive drive on each snap. His transition to NFL-level cornerbacks will take time, but he has the ability to become an early No. 3 receiver and eventual starter.",A little upright though his routes. Lateral quickness out of breaks underneath provide no early separation. Operated as big slot but could lack separation quickness to open clean throwing windows underneath for NFL quarterbacks. Build-up runner who doesn't seem to eat up the early cushion. Some scouts question ability to be a productive starter as outside receiver. Excessive fakes and jukes into breaks at times; will need to win with more efficient routes. Protracted gear-down getting into breaks for deep comebacks.
1821,Dak Prescott,QB,Mississippi State,"Thick, muscular frame. Has proven over last three seasons that he can withstand a pounding. Has enough natural arm strength and hip snap to fit throws into an NFL window. Stands tall and delivers a tight spiral with over-­the­-top delivery. Very little wind­up and gets ball out with the flick of a wrist. When pocket is clean, can deliver accurate strikes around the field. Played with improved vision and care for football this season and eliminated many of the ill-­fated throws that turned into interceptions in 2014. Still a work in progress, but continues to show a level of growth as a passer. Threat with his legs, scoring 37 rushing touchdowns over last three seasons and had 94 rushes of ten yards or more during that time. Can be used as goal-­line rushing option. Willing to extend plays outside of pocket with legs but look to finish the play with his arm. Mentally tough enough to carry a heavy offensive burden for the Bulldogs over last three years. When protected better in 2014, showed an ability to challenge deep and strike with accuracy and touch.","Beat up this year thanks to poor protection. When he wasn't being sacked, he was being hit hard. Not as competitive a rusher in 2015. Sacks and usage in run game might be taking a toll. Increase in short pass attempts from 86 to 208 this year reason for higher completion numbers. Accuracy on intermediate and deep throws dropped sharply. Pocket poise has been compromised. Hyper­ aware of pressure around him and lacks awareness to slide and find temporary shelter to make throw. Concern over pressure too often trumps ability to get through progressions. Must speed up the pace of his reads. Footwork is a mess. Slight stride onto stiff upper leg with little weight shift. Restricted follow through and too often tries to muscle throws with upper body. Throws to target rather than leading or throwing them open on short/intermediate throws. Too respectful of underneath coverage and must be more willing to challenge the defense. Needs to improve anticipation."
3689,Dalton Schultz,TE,Stanford,Very tenacious and tough as a blocker. Well-schooled in blocking fundamentals. Leaned on as vital part of the run blocking unit. Initial hand placement is good. Ability to sustain and finish. Improves positioning after contact and can generate some movement at point of attack without a double team. Gave it to USC's Rasheem Green on more than a couple of snaps when matched head to head. Sinks hips into breaks. Opens sharply on underneath routes to look for the throw. Has good feel for attacking the voids against zone coverage. Will shut routes down early to keep throwing window open for quarterback. Physical in creating space at top of his routes. Short area footwork is adequate. Has ability to become a reliable target over the middle and in traffic.,"Receiving production has been underwhelming throughout his career. Routes can be monotonous and predictable. Allows too much leeway for defenders to play the catch point. Needs to play bigger in space and use his frame. Lacks speed to attack over top. Struggles to separate against man coverage on intermediate routes. Could have somewhat limited workspace as NFL pass catcher. Not as physical after the catch. Slows feet into contact and won't always fall forward. Strikes first, but will lose initial hand placement when long defenders get into him. Can improve approach angles to help keep angle blocks centered."
